Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-18410100018,03/28/2019,5436,SMOKIN' JOE'S #8 TOBACCO AND LIQUOR OUTLET,90 W. KIMBERLY RD STE 55-56,DAVENPORT,52806,,82,SCOTT,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8,12,2,24,0.75,0.19
INV-17948500029,03/06/2019,3920,SMOKIN' JOE'S #11 TOBACCO AND LIQUOR OUTLET,1606 CAMANCHE AVE,CLINTON,52732,POINT (-90.204748 41.827845),23,CLINTON,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10804,CROWN ROYAL REGAL APPLE,44,200,4.72,7.08,2,14.16,0.4,0.1
INV-17965500018,03/06/2019,3916,SMOKIN' JOE'S #5 TOBACCO AND LIQUOR OUTLET,1115 ALBIA RD,OTTUMWA,52501,POINT (-92.437224 41.009342),90,WAPELLO,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10804,CROWN ROYAL REGAL APPLE,44,200,4.72,7.08,1,7.08,0.2,0.05
INV-18403300015,03/27/2019,5027,HARD ROCK HOTEL & CASINO SIOUX CITY,111 3RD ST,SIOUX CITY,51101,POINT (-96.40942000000001 42.493049),97,WOODBURY,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10808,CROWN ROYAL REGAL APPLE,12,1000,18.89,28.34,12,340.08,12,3.17
INV-18326100004,03/25/2019,4898,BURLINGTON SHELL,"130, S ROOSEVELT AVE",BURLINGTON,52601,POINT (-91.140986 40.808239),29,DES MOINES,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8,12,4,48,1.5,0.39
INV-17910400063,03/05/2019,2532,HY-VEE FOOD STORE #2 / DES MOINES,2540 E EUCLID,DES MOINES,50317,POINT (-93.569452 41.627838),77,POLK,1701100,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,15.59,23.39,12,280.68,9,2.37
INV-18278600003,03/21/2019,5511,THE DEPOT NORTH LIBERTY,1290 S DUBUQUE ST,NORTH LIBERTY,52317,,52,JOHNSON,1032100,IMPORTED VODKAS,260,DIAGEO AMERICAS,34456,KETEL ONE,12,750,12.5,18.75,1,18.75,0.75,0.19
INV-18323000057,03/25/2019,3417,BIG G FOOD STORE,PO BOX 261  310 W DILLON,MARENGO,52301,,48,IOWA,1011100,BLENDED WHISKIES,434,LUXCO INC,24158,HAWKEYE BLENDED WHISKEY,6,1750,7.62,11.43,2,22.86,3.5,0.92
INV-18403200022,03/27/2019,5086,"CENTRAL MART I, LLC.","2501, FLOYD BLVD",SIOUX CITY,51106,POINT (-96.385071 42.515989),97,WOODBURY,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8,12,24,288,9,2.37
INV-17910600013,03/05/2019,4596,QUIK TRIP #534 / E UNIVERSITY DM,2945 E UNIVERSITY,DES MOINES,50317,POINT (-93.558972 41.600468),77,POLK,1051100,AMERICAN BRANDIES,205,E & J GALLO WINERY,52593,E & J VS,24,200,2,3,4,12,0.8,0.21
INV-18394100008,03/27/2019,5465,KUM & GO #1215 / AMES,4506 LINCOLN WAY,AMES,50010,,85,STORY,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,4,93.56,3,0.79
INV-17857200034,03/01/2019,2607,HY-VEE WINE AND SPIRITS / SHENANDOAH,520 SO FREMONT,SHENANDOAH,51601,POINT (-95.385111 40.761736),73,PAGE,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10793,CROWN ROYAL VANILLA,6,1750,31.99,47.99,6,287.94,10.5,2.77
INV-18177800008,03/18/2019,4599,QUIK TRIP #500 / HUBBELL DM,3700 HUBBELL AVE,DES MOINES,50317,,77,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,300,7.35,11.03,2,22.06,0.6,0.15
INV-17951600037,03/06/2019,2522,HY-VEE WINE AND SPIRITS / SPIRIT LAKE,HWY 9 & 71,SPIRIT LAKE,51360,,30,DICKINSON,1012100,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,12,121.56,9,2.37
